col_1,col_2,col_3,col_4
[1:0702:003],,,
,e101,주인공,"(밝게) 안녕, 지원 씨! 아침부터 운동 중이네요?"
,,박지원,"(활기차게) 어, 안녕! 맞아, 아침 운동은 하루를 활기차게 시작하는 데 최고야. 같이 할래?"
,,주인공,(호기심 가득) 좋지! 어떤 운동을 할 생각이야?
,,박지원,"(신나게) 먼저 스트레칭 좀 하고, 그 다음엔 러닝을 할 거야. 체력도 키우고 몸도 유연하게 만들려고."
,,주인공,(감탄하며) 정말 열심히 하네. 그럼 나도 같이 스트레칭 해볼게.
,,,(주인공과 박지원이 함께 스트레칭을 시작한다.)
,,박지원,(미소 지으며) 운동하면 기분이 좋아지잖아. 스트레스도 풀리고.
,,주인공,"(따라하며) 맞아, 운동은 정말 좋은 것 같아. 지원 씨는 운동을 정말 좋아하나 봐."
,,박지원,"(활기차게) 응, 난 운동 없인 못 살아. 특히 축구를 좋아해. 나중에 다 같이 축구하러 가자!"
,,주인공,(웃으며) 좋아! 다 같이 운동하면 더 재미있을 것 같아.
,,박지원,(결의에 차서) 그럼 이제 러닝하러 나갈까? 아침 공기가 정말 상쾌하거든.
,,주인공,"(긍정적으로) 그래, 같이 나가자. 러닝도 지원 씨 덕분에 더 즐거울 것 같아."
,,,(박지원과 주인공이 기숙사 밖으로 나가 함께 러닝을 시작한다.)
,,박지원,(달리며) 어때? 달리는 기분이 좋지 않아?
,,주인공,"(호흡을 조절하며) 응, 정말 좋아. 지원 씨가 추천해줘서 다행이야."
,,박지원,(활기차게) 계속해서 운동 같이 하자! 몸도 마음도 건강해질 거야.
,,주인공,"(미소 지으며) 그래, 앞으로도 함께 운동하자. 지원 씨 덕분에 나도 더 열심히 할 수 있을 것 같아."
,,박지원,(신나게) 좋아! 우리 같이 힘내서 목표를 향해 달려보자!
[2:0703:008],,,
,e102,주인공,"(밝게) 안녕, 지원 씨! 여기서 친구들이랑 축구 중이구나?"
,,박지원,"(활기차게) 어, 안녕! 맞아, 친구들이랑 축구하고 있어. 같이 할래?"
,,주인공,(호기심 가득) 좋아! 나도 축구 좋아해. 그럼 어떻게 팀을 나누지?
,,박지원,"(신나게) 좋아, 내가 팀을 나눌게. 주인공 씨는 내 팀에 들어와! 우리 같이 열심히 해보자."
,,친구1,"(웃으며) 좋아, 그럼 게임 시작하자! 준비됐지?"
,,주인공,(결의에 차서) 물론이지! 다 같이 즐겁게 해보자.
,,,(박지원과 주인공이 함께 팀을 이루어 축구 경기를 시작한다.)
,,박지원,"(경기 중) 주인공 씨, 이쪽으로 패스해줘!"
,,주인공,"(패스하며) 여기, 받아!"
,,박지원,(공을 받으며) 잘했어! 이제 슛!
,,친구2,"(막으려 하며) 안돼, 막아야 해!"
,,박지원,(슛하며) 골! 우리가 이겼어!
,,주인공,"(기뻐하며) 와, 정말 멋진 슛이었어, 지원 씨!"
,,박지원,(웃으며) 고마워! 주인공 씨도 정말 잘했어. 우리 팀워크가 최고야.
,,친구1,"(웃으며) 맞아, 정말 재미있었어. 다음에도 같이 하자."
,,주인공,"(미소 지으며) 그래, 나도 즐거웠어. 다음에 또 같이 하자."
,,박지원,"(활기차게) 좋아, 다음에도 꼭 같이 하자! 운동은 다 같이 해야 더 재미있잖아."
,,주인공,"(긍정적으로) 맞아, 지원 씨 덕분에 정말 즐거운 시간이었어. 고마워!"
,,박지원,(활기차게) 내가 더 고맙지! 그럼 이따가 다 같이 음료수 한 잔 하러 가자. 운동 후에 마시는 음료가 최고거든.
